n	m	threshold	precision	bin_width	alpha	observation	final_result	time_taken
30	3	0.9	103	0.001	0.05	[28, 1, 1]	0.0970873786407767	94.93355059623718
25	3	0.9	103	0.001	0.05	[23, 1, 1]	0.0970873786407767	65.42339134216309
35	3	0.9	103	0.001	0.05	[33, 1, 1]	0.0970873786407767	150.58861422538757
15	3	0.8	103	0.001	0.05	[13, 1, 1]	0.1941747572815534	52.18327260017395
20	3	0.9	103	0.001	0.05	[18, 1, 1]	0.0970873786407767	54.08682298660278
20	3	0.9	103	0.001	0.05	[18, 1, 1]	0.0970873786407767	56.223387241363525
20	3	0.9	103	0.001	0.05	[18, 1, 1]	0.0970873786407767	73.36645102500916
3	3	0.9	13	0.001	0.05	[1, 1, 1]	0.07692307692307693	0.14041829109191895
5	3	0.9	13	0.001	0.05	[3, 1, 1]	0.07692307692307693	0.5459470748901367
5	3	0.9	13	0.001	0.05	[3, 1, 1]	0.07692307692307693	0.5389947891235352
20	3	0.9	101	0.001	0.05	[18, 1, 1]	0.09900990099009901	12.19093918800354
20	3	0.9	101	0.001	0.05	[18, 1, 1]	0.09900990099009901	11.834757566452026
20	5	0.9	101	0.001	0.05	[18, 1, 1]	0.09900990099009901	214.4447886943817
20	6	0.9	31	0.001	0.05	[18, 1, 1]	0.0967741935483871	140.78572010993958
10	5	0.8	101	0.0001	0.05	[8, 1, 1]	0.1782178217821782	42.7680778503418
